Opt. Const. of B-Spline vs. nm,n,k
1643.799561,2.804041,0.156852
1647.232422,2.803426,0.155124
1650.664795,2.802807,0.153408
1654.097046,2.802182,0.151702
1657.528687,2.801553,0.150007
1660.960205,2.800919,0.148324
1664.391235,2.800281,0.146652
1667.821899,2.799638,0.14499
1671.252197,2.79899,0.143339
1674.682007,2.798338,0.1417
1678.111572,2.797682,0.140071
1681.540649,2.797021,0.138452
1684.96936,2.796356,0.136845
1688.397705,2.795687,0.135248
