NR9 ordinary,n,k
942,1.950421,0.951249
943,1.957116,0.952784
944,1.963894,0.954239
945,1.970752,0.955612
946,1.97769,0.956902
947,1.984707,0.958105
948,1.991799,0.959221
949,1.998966,0.960247
950,2.006207,0.961181
951,2.01352,0.962023
952,2.020903,0.96277
953,2.028355,0.963421
954,2.035875,0.963975
955,2.043461,0.964429
956,2.051113,0.964783
957,2.058829,0.965035
958,2.066609,0.965185
959,2.074452,0.96523
960,2.082356,0.965169
961,2.090322,0.965001
962,2.098349,0.964725
963,2.106437,0.96434
964,2.114587,0.963843
965,2.1228,0.963234
966,2.131076,0.96251
967,2.139421,0.961667
968,2.147835,0.960699
969,2.156317,0.959597
970,2.164865,0.958356
971,2.173475,0.95697
972,2.182145,0.955434
973,2.190871,0.953743
974,2.199648,0.951892
975,2.208473,0.949877
976,2.217342,0.947694
977,2.226249,0.945338
978,2.235191,0.942807
979,2.244162,0.940097
980,2.253156,0.937205
981,2.262171,0.934128
982,2.271199,0.930862
983,2.280235,0.927406
984,2.289276,0.923756
985,2.298314,0.919911
986,2.307344,0.915867
987,2.316361,0.911624
988,2.325358,0.907179
989,2.334331,0.902529
990,2.343272,0.897674
991,2.352176,0.892612
992,2.361037,0.88734
993,2.369847,0.881857
994,2.3786,0.876163
995,2.387289,0.870255
996,2.395908,0.864133
997,2.404448,0.857795
998,2.412901,0.85124
999,2.421261,0.844467
1000,2.429517,0.837476
1002.5,2.449645,0.819036
1005,2.468902,0.79922
1007.5,2.487048,0.778064
1010,2.503869,0.755761
1012.5,2.519275,0.732518
1015,2.533221,0.708511
1017.5,2.545687,0.683897
1020,2.556667,0.658818
1022.5,2.566165,0.633404
1025,2.574196,0.607775
1027.5,2.580781,0.582044
1030,2.585944,0.556316
1032.5,2.589717,0.530693
1035,2.592137,0.50527
1037.5,2.593244,0.48014
1040,2.593087,0.455394
1042.5,2.59172,0.431119
1045,2.589207,0.4074
1047.5,2.585627,0.384323
1050,2.581091,0.361961
1052.5,2.575725,0.340329
1055,2.569608,0.319413
1057.5,2.562802,0.299207
1060,2.555357,0.279707
1062.5,2.547318,0.260912
1065,2.538724,0.242823
1067.5,2.529613,0.225443
1070,2.520023,0.208777
1072.5,2.509986,0.192832
1075,2.499538,0.177616
1077.5,2.488713,0.163136
1080,2.477545,0.149404
1082.5,2.466072,0.13643
1085,2.454332,0.124228
1087.5,2.442367,0.11281
1090,2.430221,0.102191
1092.5,2.417946,0.092385
1095,2.405605,0.083409
1097.5,2.393287,0.075267
1100,2.381074,0.067918
1102.5,2.369023,0.061317
1105,2.35718,0.055419
1107.5,2.345582,0.050178
1110,2.334263,0.045551
1112.5,2.323248,0.041494
1115,2.312562,0.037964
1117.5,2.302224,0.034917
1120,2.29225,0.032312
1122.5,2.282653,0.030104
1125,2.273442,0.028252
1127.5,2.264624,0.026714
1130,2.256201,0.025447
1132.5,2.248172,0.02441
1135,2.240533,0.023561
1137.5,2.233277,0.02286
1140,2.22639,0.022265
1142.5,2.219856,0.021738
1145,2.213648,0.021237
1147.5,2.20773,0.020728
1150,2.20205,0.020196
1152.5,2.196577,0.019646
1155,2.191285,0.01908
1157.5,2.186156,0.018504
1160,2.181175,0.017918
1162.5,2.176327,0.017328
1165,2.171602,0.016737
1167.5,2.166989,0.016146
1170,2.16248,0.01556
1172.5,2.158068,0.014981
1175,2.153745,0.014412
1177.5,2.149507,0.013856
1180,2.145348,0.013316
1182.5,2.141264,0.012794
1185,2.137251,0.012293
1187.5,2.133307,0.011816
1190,2.12943,0.011366
1192.5,2.125616,0.010944
1195,2.121866,0.010553
1197.5,2.118179,0.010196
1200,2.114554,0.009875
1202.5,2.110994,0.009592
1205,2.107502,0.009348
1207.5,2.104081,0.00914
1210,2.100731,0.008967
1212.5,2.097453,0.008825
1215,2.094248,0.008712
1217.5,2.091114,0.008625
1220,2.088052,0.008563
1222.5,2.085061,0.008523
1225,2.08214,0.008502
1227.5,2.079288,0.008498
1230,2.076504,0.00851
1232.5,2.073787,0.008535
1235,2.071136,0.008571
1237.5,2.06855,0.008615
1240,2.066027,0.008666
1242.5,2.063565,0.008721
1245,2.061164,0.008779
1247.5,2.058821,0.008838
1250,2.056535,0.008895
1252.5,2.054303,0.00895
1255,2.052125,0.008999
1257.5,2.049996,0.009042
1260,2.047916,0.009076
1262.5,2.045881,0.0091
1265,2.043888,0.009112
1267.5,2.041932,0.009112
1270,2.040011,0.0091
1272.5,2.038121,0.009079
1275,2.036262,0.009048
1277.5,2.034431,0.009008
1280,2.032625,0.008961
1282.5,2.030845,0.008906
1285,2.029088,0.008846
1287.5,2.027354,0.00878
1290,2.02564,0.008709
1292.5,2.023947,0.008635
1295,2.022274,0.008557
