Ell with T and measured substrate Opt. Const. of B-Spline vs. nm, n (E with T amd substrate),k (E with T and substrate measured)
750.726685,1.19616,6.663022
752.307251,1.198008,6.676132
753.887634,1.19985,6.689262
755.467896,1.201688,6.702415
757.047974,1.203521,6.715587
758.627991,1.205349,6.728779
760.207825,1.207171,6.74199
761.787476,1.208987,6.755219
763.367065,1.210798,6.768465
764.946411,1.212601,6.781726
766.525635,1.214398,6.795003
768.104736,1.216188,6.808294
769.683655,1.217971,6.821599
771.262451,1.219746,6.834916
772.841064,1.221513,6.848244
774.419556,1.223273,6.861584
775.997925,1.225024,6.874934
777.57605,1.226766,6.888293
779.154114,1.2285,6.901661
780.731995,1.230226,6.915037
782.309692,1.231942,6.928421
783.887268,1.233648,6.94181
785.464661,1.235346,6.955205
787.04187,1.237034,6.968606
788.619019,1.238712,6.982011
790.195923,1.24038,6.99542
791.772705,1.242038,7.008832
793.349304,1.243686,7.022247
794.92572,1.245323,7.035663
796.502075,1.246951,7.049081
798.078186,1.248567,7.0625
799.654114,1.250173,7.075918
801.229858,1.251768,7.089337
802.805542,1.253352,7.102754
804.380981,1.254925,7.11617
805.956299,1.256487,7.129584
807.531372,1.258038,7.142995
809.106384,1.259578,7.156404
810.681152,1.261106,7.169808
812.255798,1.262623,7.183209
813.8302,1.264128,7.196605
815.404541,1.265622,7.209997
816.978638,1.267104,7.223382
818.552551,1.268574,7.236761
820.126343,1.270033,7.250135
821.69989,1.27148,7.263502
823.273315,1.272915,7.276861
824.846558,1.274339,7.290213
826.419617,1.27575,7.303556
827.992493,1.27715,7.316891
829.565247,1.278537,7.330218
831.137695,1.279913,7.343535
832.710083,1.281276,7.356843
834.282227,1.282628,7.37014
835.854187,1.283967,7.383428
837.426086,1.285295,7.396706
838.997681,1.28661,7.409971
840.569153,1.287914,7.423225
842.14032,1.289205,7.436468
843.711426,1.290484,7.449699
845.282349,1.291751,7.462918
846.853027,1.293006,7.476125
848.423523,1.294249,7.489318
849.993835,1.29548,7.502498
851.563965,1.296699,7.515664
853.133911,1.297905,7.528817
854.703735,1.2991,7.541956
856.273254,1.300283,7.555081
857.84259,1.301453,7.568191
859.411804,1.302612,7.581287
860.980774,1.303759,7.594368
862.549622,1.304893,7.607433
864.118164,1.306016,7.620482
865.686646,1.307127,7.633517
867.254761,1.308226,7.646534
868.822876,1.309313,7.659537
870.390625,1.310389,7.672522
871.958191,1.311452,7.685491
873.525696,1.312504,7.698443
875.092896,1.313544,7.711379
876.659851,1.314572,7.724296
878.226685,1.315589,7.737196
879.793335,1.316594,7.75008
881.359741,1.317588,7.762946
882.925964,1.31857,7.775793
884.491882,1.31954,7.788621
886.057739,1.320499,7.801433
887.623352,1.321447,7.814226
889.18866,1.322383,7.826999
890.753906,1.323308,7.839755
892.318848,1.324222,7.852491
893.883606,1.325124,7.865209
895.44812,1.326015,7.877907
897.012512,1.326895,7.890586
898.57666,1.327764,7.903246
900.140503,1.328622,7.915885
901.704285,1.329469,7.928506
903.267761,1.330305,7.941107
904.831055,1.33113,7.953687
906.394165,1.331944,7.966247
907.956909,1.332747,7.978787
909.519653,1.33354,7.991308
911.082031,1.334322,8.003807
912.644226,1.335093,8.016286
914.206177,1.335853,8.028744
915.767944,1.336604,8.041183
917.329468,1.337343,8.053598
918.890808,1.338072,8.065995
920.451965,1.338791,8.078371
922.012817,1.339499,8.090725
923.573425,1.340198,8.103057
925.133911,1.340886,8.115369
926.694031,1.341563,8.127659
928.254028,1.342231,8.13993
929.813782,1.34289,8.152182
931.373352,1.34354,8.164417
932.932617,1.344181,8.176636
934.491699,1.344815,8.188841
936.050598,1.345441,8.201033
937.609192,1.346059,8.213212
939.167603,1.346671,8.225382
940.725708,1.347276,8.23754
942.283569,1.347875,8.249691
943.841309,1.348468,8.261835
945.398743,1.349056,8.273972
946.955933,1.349639,8.286104
948.512878,1.350217,8.298232
950.069641,1.350791,8.310356
951.62616,1.35136,8.32248
953.182434,1.351926,8.3346
