wavelength,n,k
537,1.563310154,0.47217
536,1.561603736,0.46868
535,1.559865393,0.46525
534,1.558083406,0.46186
533,1.556334311,0.45851
532,1.554522812,0.4552
531,1.552641693,0.4519
530,1.55077232,0.44862
529,1.548863348,0.44535
528,1.546952022,0.44209
527,1.545035977,0.43883
526,1.543162054,0.43555
525,1.541194279,0.43227
524,1.539268566,0.42899
523,1.537387414,0.4257
522,1.535419041,0.42239
521,1.533504634,0.41908
520,1.531512097,0.41577
519,1.529583031,0.41244
518,1.527585018,0.40912
517,1.525660087,0.4058
516,1.52367549,0.40248
515,1.521683292,0.39918
514,1.519735853,0.39589
513,1.517699735,0.39262
512,1.515667713,0.38937
511,1.513733116,0.38614
510,1.511711814,0.38294
509,1.509742611,0.37978
508,1.507823319,0.37665
507,1.505901175,0.37355
506,1.503968913,0.37048
505,1.502156861,0.36744
504,1.500264823,0.36443
503,1.49840867,0.36146
502,1.496607947,0.35851
501,1.494928455,0.35558
500,1.493241789,0.35266
499,1.491696457,0.34977
498,1.490205221,0.34691
497,1.488675506,0.34405
496,1.487190264,0.34121
495,1.485776575,0.33837
494,1.484363631,0.33556
493,1.483159933,0.33274
492,1.481893601,0.32993
491,1.480763528,0.32712
490,1.479679087,0.32431
489,1.478534513,0.32149
488,1.477406042,0.31866
487,1.47636034,0.31583
486,1.475501349,0.31298
485,1.474693594,0.31012
484,1.473885256,0.30726
483,1.473301503,0.3044
482,1.472781804,0.30155
481,1.472353488,0.29871
480,1.471934916,0.29587
479,1.47162274,0.29304
478,1.471414575,0.29022
477,1.471303041,0.2874
476,1.47118158,0.28459
475,1.471070023,0.28181
474,1.47097829,0.27903
473,1.470916304,0.27627
472,1.471077461,0.27352
471,1.471122085,0.27079
470,1.471280733,0.2681
469,1.471397226,0.26545
468,1.471597961,0.26285
467,1.471905188,0.2603
466,1.472194994,0.25779
465,1.472531767,0.25533
464,1.472880813,0.25292
463,1.473348511,0.25058
462,1.473744293,0.24828
461,1.474159711,0.24603
460,1.474639229,0.24385
459,1.475081488,0.24172
458,1.475661842,0.23963
457,1.476269041,0.23761
456,1.476942501,0.23564
