Opt. Const. of ZnO (GenOsc) vs. nm nm,n,k
889.18866,1.554019,0.000001
890.753906,1.553961,0.000001
892.318848,1.553904,0.000001
893.883606,1.553847,0.000001
895.44812,1.55379,0.000001
897.012512,1.553733,0.000001
898.57666,1.553677,0.000001
900.140503,1.553622,0.000001
901.704285,1.553566,0.000001
903.267761,1.553511,0.000001
904.831055,1.553456,0.000001
906.394165,1.553402,0.000001
907.956909,1.553347,0.000001
909.519653,1.553294,0.000001
911.082031,1.55324,0.000001
912.644226,1.553187,0.000001
914.206177,1.553134,0.000001
915.767944,1.553081,0.000001
917.329468,1.553029,0.000001
918.890808,1.552977,0.000001
920.451965,1.552925,0.000001
922.012817,1.552874,0.000001
923.573425,1.552823,0.000001
925.133911,1.552772,0.000001
926.694031,1.552721,0.000001
928.254028,1.552671,0.000001
929.813782,1.552621,0.000001
931.373352,1.552572,0.000001
932.932617,1.552522,0.000001
934.491699,1.552473,0.000001
936.050598,1.552424,0.000001
937.609192,1.552376,0.000001
939.167603,1.552327,0.000001
940.725708,1.552279,0.000001
942.283569,1.552232,0.000001
943.841309,1.552184,0.000001
945.398743,1.552137,0.000001
946.955933,1.55209,0.000001
948.512878,1.552043,0.000001
950.069641,1.551997,0.000001
951.62616,1.551951,0.000001
953.182434,1.551905,0.000001
954.738464,1.551859,0.000001
956.29425,1.551814,0.000001
957.849792,1.551768,0.000001
959.405151,1.551723,0.000001
960.960266,1.551679,0.000001
962.515015,1.551634,0.000001
964.069641,1.55159,0.000001
965.624023,1.551546,0.000001
967.178101,1.551502,0.000001
968.731934,1.551459,0.000001
970.285522,1.551416,0.000001
971.838989,1.551373,0.000001
973.391968,1.55133,0.000001
974.944946,1.551287,0.000001
976.497559,1.551245,0.000001
978.049927,1.551203,0.000001
979.602051,1.551161,0.000001
981.153931,1.551119,0.000001
982.705444,1.551078,0.000001
984.256836,1.551037,0.000001
985.807983,1.550996,0.000001
987.358887,1.550955,0.000001
988.909485,1.550915,0.000001
990.459778,1.550874,0.000001
992.009888,1.550834,0.000001
993.559753,1.550794,0.000001
995.109253,1.550754,0.000001
996.658569,1.550715,0.000001
998.207703,1.550676,0.000001
999.75647,1.550637,0.000001
1011.723267,1.550341,0.000001
1015.185913,1.550258,0.000001
1018.648621,1.550175,0.000001
1022.111328,1.550094,0.000001
1025.573975,1.550013,0.000001
1029.036865,1.549933,0.000001
1032.499634,1.549854,0.000001
1035.962402,1.549776,0.000001
1039.425293,1.549699,0.000001
1042.888184,1.549622,0.000001
1046.351074,1.549547,0.000001
1049.813965,1.549472,0.000001
1053.276978,1.549398,0.000001
1056.739868,1.549325,0.000001
1060.202881,1.549252,0.000001
1063.665771,1.549181,0.000001
1067.128662,1.54911,0.000001
1070.591675,1.54904,0.000001
1074.054688,1.54897,0.000001
1077.5177,1.548901,0.000001
1080.980591,1.548833,0.000001
1084.443604,1.548766,0.000001
1087.906494,1.548699,0.000001
1091.369507,1.548633,0
1094.832397,1.548568,0
1098.295288,1.548503,0
1101.758301,1.548439,0
1105.221191,1.548376,0
