Opt. Const. of Gen-Osc vs. nm nm,n,k
1390,1.50293,0
1392.5,1.502874,0
1395,1.502817,0
1397.5,1.502761,0
1400,1.502704,0
1402.5,1.502647,0
1405,1.50259,0
1407.5,1.502533,0
1410,1.502476,0
1412.5,1.502419,0
1415,1.502362,0
1417.5,1.502305,0
1420,1.502247,0
1422.5,1.50219,0
1425,1.502133,0
1427.5,1.502075,0
1430,1.502017,0
1432.5,1.50196,0
1435,1.501902,0
1437.5,1.501844,0
1440,1.501786,0
1442.5,1.501728,0
1445,1.50167,0
1447.5,1.501612,0
1450,1.501554,0
1452.5,1.501496,0
1455,1.501438,0
1457.5,1.501379,0
1460,1.501321,0
1462.5,1.501262,0
1465,1.501204,0
1467.5,1.501145,0
1470,1.501086,0
1472.5,1.501028,0
1475,1.500969,0
1477.5,1.50091,0
1480,1.500851,0
1482.5,1.500792,0
1485,1.500733,0
1487.5,1.500673,0
1490,1.500614,0
1492.5,1.500555,0
1495,1.500495,0
1497.5,1.500436,0
1500,1.500376,0
1502.5,1.500317,0
1505,1.500257,0
1507.5,1.500197,0
1510,1.500137,0
1512.5,1.500077,0
1515,1.500017,0
1517.5,1.499957,0
1520,1.499897,0
1522.5,1.499836,0
1525,1.499776,0
1527.5,1.499716,0
1530,1.499655,0
1532.5,1.499594,0
1535,1.499534,0
1537.5,1.499473,0
1540,1.499412,0
1542.5,1.499351,0
1545,1.49929,0
1547.5,1.499229,0
1550,1.499168,0
1552.5,1.499107,0
1555,1.499046,0
1557.5,1.498984,0
1560,1.498923,0
1562.5,1.498862,0
1565,1.4988,0
1567.5,1.498738,0
1570,1.498677,0
1572.5,1.498615,0
1575,1.498553,0
1577.5,1.498491,0
1580,1.498429,0
1582.5,1.498367,0
1585,1.498304,0
1587.5,1.498242,0
1590,1.49818,0
1592.5,1.498117,0
1595,1.498055,0
1597.5,1.497992,0
1600,1.49793,0
1602.5,1.497867,0
1605,1.497804,0
1607.5,1.497741,0
1610,1.497678,0
1612.5,1.497615,0
1615,1.497552,0
1617.5,1.497488,0
1620,1.497425,0
1622.5,1.497362,0
1625,1.497298,0
1627.5,1.497235,0
1630,1.497171,0
1632.5,1.497107,0
1635,1.497043,0
1637.5,1.49698,0
1640,1.496916,0
1642.5,1.496852,0
1645,1.496787,0
1647.5,1.496723,0
1650,1.496659,0
1652.5,1.496595,0
1655,1.49653,0
1657.5,1.496466,0
1660,1.496401,0
1662.5,1.496336,0
1665,1.496271,0
1667.5,1.496207,0
1670,1.496142,0
1672.5,1.496077,0
1675,1.496011,0
1677.5,1.495946,0
1680,1.495881,0
1682.5,1.495816,0
1685,1.49575,0
1687.5,1.495685,0
1690,1.495619,0
1692.5,1.495553,0
1695,1.495488,0
1697.5,1.495422,0
1700,1.495356,0
